model,best_val_acc,best_val_f1,best_epoch_acc,min_val_loss
MLP ReLU + reg,0.97975,0.9796294140367934,8,0.0694288929073761
MLP ReLU no reg,0.9790833333333333,0.9789610853609318,8,0.0804911491125822
MLP Sigmoid + reg,0.9488333333333333,0.9483455696159304,8,0.17131449831525486
